2022-10-2 22:53:57 WARN  openCart:43 - Login Failed
2022-10-2 23:18:51 INFO  openCart:29 - Username provided
2022-10-2 23:18:51 INFO  openCart:32 - Password provided
2022-10-2 23:18:56 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:18:56 WARN  openCart:43 - Login Failed
2022-10-2 23:18:56 INFO  openCart:29 - Username provided
2022-10-2 23:18:56 INFO  openCart:32 - Password provided
2022-10-2 23:19:04 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:19:04 WARN  openCart:43 - Login Failed
2022-10-2 23:19:04 INFO  openCart:29 - Username provided
2022-10-2 23:19:05 INFO  openCart:32 - Password provided
2022-10-2 23:19:13 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:19:13 WARN  openCart:43 - Login Failed
2022-10-2 23:21:12 INFO  openCart:29 - Username provided
2022-10-2 23:21:12 INFO  openCart:32 - Password provided
2022-10-2 23:21:20 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:21:20 WARN  openCart:43 - Login Failed
2022-10-2 23:21:20 INFO  openCart:29 - Username provided
2022-10-2 23:21:21 INFO  openCart:32 - Password provided
2022-10-2 23:21:34 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:21:34 WARN  openCart:43 - Login Failed
2022-10-2 23:21:35 INFO  openCart:29 - Username provided
2022-10-2 23:21:35 INFO  openCart:32 - Password provided
2022-10-2 23:21:40 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:21:40 WARN  openCart:43 - Login Failed
2022-10-2 23:34:45 INFO  openCart:29 - Username provided
2022-10-2 23:34:45 INFO  openCart:32 - Password provided
2022-10-2 23:34:54 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:34:54 INFO  openCart:43 - Login Passed
2022-10-2 23:34:55 INFO  openCart:29 - Username provided
2022-10-2 23:34:55 INFO  openCart:32 - Password provided
2022-10-2 23:34:55 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:34:55 INFO  openCart:43 - Login Passed
2022-10-2 23:34:56 INFO  openCart:29 - Username provided
2022-10-2 23:34:56 INFO  openCart:32 - Password provided
2022-10-2 23:34:56 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:34:56 INFO  openCart:43 - Login Passed
